kreisname,Nachname,Vorname,data-id
Leipzig I,Lehmann,Jens,857694
Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,Lehmann,Sylvia,857668
Würzburg,Lehrieder,Paul,857676
Erding - Ebersberg,Lenz,Andreas,
Homburg,Limbacher,Esra,861252
Wuppertal I,Lindh,Helge,857648
Aschaffenburg,Lindholz,Andrea,857700
Paderborn,Linnemann,Carsten,
München-Nord,Loos,Bernhard,857680
Berlin-Lichtenberg,Lötzsch,Gesine,
Rosenheim,Ludwig,Daniela,857682
Saarlouis,Maas,Heiko,857754
Montabaur,Machalet,Tanja,
Calw,Mack,Klaus,861554
Vogtlandkreis,Magwas,Yvonne,857746
Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,Malottki,Erik,
Hamburg-Nord,Martin,Dorothee,857706
Osterholz - Verden,Mattfeldt,Andreas,857716
Karlsruhe-Stadt,Mayer,Zoe,
Altötting,Mayer,Stephan,
Bodensee,Mayer-Lay,Volker,861536
Bergstraße,Meister,Michael,
Hochsauerlandkreis,Merz,Friedrich,861648
Worms,Metzler,Jan,857736
Hannover-Land II,Miersch,Matthias,
Kaiserslautern,Mieves,Matthias David,861194
Delmenhorst - Wesermarsch - Oldenburg-Land,Mittag,Susanne,857748
Helmstedt - Wolfsburg,Mohrs,Falko,857730
Aachen II,Moll,Claudia,857752
Friesland - Wilhelmshaven - Wittmund,Möller,Siemtje,857744
Stuttgart II,Mörseburg,Maximilian,861900
Ravensburg,Müller,Axel,857788
Olpe - Märkischer Kreis I,Müller,Florian,861766
Dessau - Wittenberg,Müller,Sepp,857766
Erlangen,Müller,Stefan,
Main-Kinzig - Wetterau II - Schotten,Müller,Bettina,857768
Chemnitz,Müller,Detlef,
Berlin-Charlottenburg-Wilmersdorf,Müller,Michael,860414
Herne - Bochum II,Müntefering,Michelle,857780
Köln III,Mützenich,Rolf,
Recklinghausen II,Nickholz,Brian,861098
Frankfurt am Main II,Nouripour,Omid,857814
Hanau,Oehl,Lennard,861610
Heinsberg,Oellers,Wilfried,857818
Rhein-Neckar,Oppelt,Moritz,861820
Saarbrücken,Ortleb,Josephine,857828
Landshut,Oßner,Florian,857822
Koblenz,Oster,Josef,857816
Celle - Uelzen,Otte,Henning,857830
Stuttgart I,Özdemir,Cem,857832
Duisburg II,Özdemir,Mahmut,
Hamburg-Wandsbek,Özoğuz,Aydan,857820
Braunschweig,Pantazis,Christos,
Prignitz - Ostprignitz-Ruppin - Havelland I,Papenbrock,Wiebke,860488
Frankfurt (Oder) - Oder-Spree,Papendieck,Mathias,860472
Wetterau I,Pawlik,Natalie,860626
Dortmund I,Peick,Jens,861118
Leipzig II,Pellmann,Sören,857858
St. Wendel,Petry,Christian,863314
Göttingen,Philippi,Andreas,
München-West/Mitte,Pilsinger,Stephan,857848
Viersen,Plum,Martin,
Dortmund II,Poschmann,Sabine,857864
Minden-Lübbecke I,Post,Achim,
Düren,Rachel,Thomas,857924
Bad Tölz-Wolfratshausen - Miesbach,Radwan,Alexander,857896
Straubing,Rainer,Alois,857914
Traunstein,Ramsauer,Peter,
Warendorf,Rehbaum,Henning,861928
Dresden I,Reichel,Markus,
Biberach,Rief,Josef,857912
Düsseldorf II,Rimkus,Andreas,857900
Rendsburg-Eckernförde,Rix,Sönke,857882
Oldenburg - Ammerland,Rohde,Dennis,857890
Dresden II - Bautzen II,Rohwer,Lars,861562
Werra-Meißner - Hersfeld-Rotenburg,Roth,Michael,
Rhein-Sieg-Kreis II,Röttgen,Norbert,
Kleve,Rouenhoff,Stefan,857892
Neuwied,Rüddel,Erwin,857930
Weiden,Rupprecht,Albert,857884
Bremen I,Ryglewski,Sarah,857904
Aurich - Emden,Saathoff,Johann,857972
München-Süd,Schäfer,Jamila,860330
Bochum I,Schäfer,Axel,
Solingen - Remscheid - Wuppertal II,Schäfer,Ingo,861050
Hannover-Land I,Schamber,Rebecca,860884
Offenburg,Schäuble,Wolfgang,
Herzogtum Lauenburg - Stormarn-Süd,Scheer,Nina,
Passau,Scheuer,Andreas,857964
Hagen - Ennepe-Ruhr-Kreis I,Schisanowski,Timo,861110
Lahn-Dill,Schmidt,Dagmar,
Bremen II - Bremerhaven,Schmidt,Uwe,857938
Erfurt - Weimar - Weimarer Land II,Schneider,Carsten,
Cuxhaven - Stade II,Schneider,Daniel,860886
Bitburg,Schnieder,Patrick,857992
Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Scholz,Olaf,860468
Hameln-Pyrmont - Holzminden,Schraps,Johannes,857996
Ludwigshafen/Frankenthal,Schreider,Christian,861204
Waldshut,Schreiner,Felix,857978
Recklinghausen I,Schwabe,Frank,857980
Herford - Minden-Lübbecke II,Schwartze,Stefan,857984
Euskirchen - Rhein-Erft-Kreis II,Seif,Detlef,858062
Bamberg,Silberhorn,Thomas,858036
Offenbach,Simon,Björn,858050
Steinfurt I - Borken I,Spahn,Jens,858012
Harburg,Stadler,Svenja,858016
Fürstenfeldbruck,Staffler,Katrin,858030
Hamburg-Eimsbüttel,Steffen,Till,
München-Ost,Stefinger,Wolfgang,
Mittelems,Stegemann,Albert,858074
Pinneberg,Stegner,Ralf,
Kiel,Stein,Mathias,858042
Neustadt - Speyer,Steiniger,Johannes,858032
Berlin-Mitte,Steinmüller,Hanna,860510
Schwäbisch Hall - Hohenlohe,Stetten,Christian,
Burgenland - Saalekreis,Stier,Dieter,858052
Lörrach - Müllheim,Stöcker,Diana,861664
Ostallgäu,Stracke,Stephan,858034
Rottal-Inn,Straubinger,Max,858078
Waiblingen,Stumpp,Christina,861926
Rheinisch-Bergischer Kreis,Tebroke,Hermann-Josef,
Hamm - Unna II,Thews,Michael,858084
Soest,Thies,Hans-Jürgen,858094
Heilbronn,Throm,Alexander,858106
Gelsenkirchen,Töns,Markus,858096
Bonn,Uhlig,Katrin,860926
Augsburg-Stadt,Ullrich,Volker,
Suhl - Schmalkalden-Meiningen - Hildburghausen - Sonneberg,Ullrich,Frank,861430
Nienburg II - Schaumburg,Völlers,Marja-Liisa,858132
Oberhausen - Wesel III,Vöpel,Dirk,858128
Cottbus - Spree-Neiße,Wallstein,Maja,860470
Elbe-Elster - Oberspreewald-Lausitz II,Walter,Hannes,860478
Odenwald - Tauber,Warken,Nina,858188
Groß-Gerau,Wegling,Melanie,860676
Kreuznach,Weingarten,Joe,
Schweinfurt,Weisgerber,Anja,
Rottweil - Tuttlingen,Weiss,Maria-Lena,861824
Hildesheim,Westphal,Bernd,858148
Rastatt,Whittaker,Kai,858194
