plz,data-id
24239,8578820
24791,8578820
24340,8578820
24634,8578820
24358,8578820
24613,8578820
24806,8578820
24793,8578820
24360,8578820
25557,8578820
25557,8578820
25575,8578820
24582,8578820
24241,8578820
24220,8578820
24802,8578820
24582,8578820
24589,8578820
24794,8578820
25557,8578820
24796,8578820
24793,8578820
24796,8578820
24797,8578820
24811,8578820
24816,8578820
24398,8578820
24582,8578820
24782,8578820
24794,8578820
24799,8578820
24229,8578820
24589,8578820
24361,8578820
24351,8578820
24398,8578820
24340,8578820
24647,8578820
24589,8578820
24589,8578820
24800,8578820
24819,8578820
24802,8578820
24242,8578820
24244,8578820
24357,8578820
24220,8578820
24787,8578820
24799,8578820
24799,8578820
24340,8578820
24214,8578820
24622,8578820
25557,8578820
24594,8578820
24241,8578820
24582,8578820
24802,8578820
24361,8578820
24357,8578820
24819,8578820
24361,8578820
24805,8578820
24816,8578820
25557,8578820
24790,8578820
24594,8578820
24797,8578820
24582,8578820
24594,8578820
24806,8578820
24363,8578820
24361,8578820
24364,8578820
24358,8578820
24357,8578820
24594,8578820
24808,8578820
24398,8578820
24361,8578820
24799,8578820
24354,8578820
24644,8578820
24796,8578820
24631,8578820
24214,8578820
24806,8578820
24644,8578820
24366,8578820
25585,8578820
24816,8578820
24340,8578820
24594,8578820
24109,8578820
24247,8578820
24594,8578820
24113,8578820
24582,8578820
24625,8578820
24214,8578820
24794,8578820
24214,8578820
24819,8578820
24594,8578820
24214,8578820
24589,8578820
24809,8578820
25557,8578820
24793,8578820
24251,8578820
24790,8578820
24367,8578820
24783,8578820
25590,8578820
24107,8578820
24811,8578820
24634,8578820
24805,8578820
24107,8578820
24594,8578820
24790,8578820
24241,8578820
24594,8578820
24768,8578820
24782,8578820
24354,8578820
24247,8578820
24254,8578820
24783,8578820
24241,8578820
24214,8578820
24241,8578820
24582,8578820
24220,8578820
24790,8578820
24589,8578820
24813,8578820
24229,8578820
25557,8578820
24814,8578820
24241,8578820
24806,8578820
24816,8578820
25557,8578820
24229,8578820
25585,8578820
24594,8578820
24220,8578820
25557,8578820
24351,8578820
24644,8578820
24819,8578820
24214,8578820
24369,8578820
24594,8578820
24646,8578820
24647,8578820
24582,8578820
24259,8578820
24784,8578820
24340,8578820
24398,8578820
24358,8578820
24103,8580420
24161,8580420
24119,8580420
23552,8613620
23919,8613620
23919,8613620
23847,8613620
23847,8613620
23919,8613620
23847,8613620
23847,8613620
23860,8613620
23847,8613620
23628,8613620
23898,8613620
23628,8613620
23898,8613620
22959,8613620
23898,8613620
23919,8613620
23919,8613620
23898,8613620
23847,8613620
22929,8613620
23847,8613620
23847,8613620
23847,8613620
23898,8613620
23847,8613620
23847,8613620
23898,8613620
20038,8616080
20038,8607060
20038,8577060
20038,8578200
26897,8572260
26904,8572260
26897,8572260
26906,8572260
26892,8572260
26897,8572260
49762,8572260
49777,8572260
49733,8572260
26892,8572260
26897,8572260
49751,8572260
49777,8572260
26892,8572260
49757,8572260
49762,8572260
26892,8572260
26901,8572260
26909,8572260
26909,8572260
49779,8572260
49779,8572260
26871,8572260
26901,8572260
49762,8572260
26899,8572260
49751,8572260
49751,8572260
49777,8572260
26903,8572260
49762,8572260
49767,8572260
49757,8572260
26907,8572260
49757,8572260
49751,8572260
26892,8572260
26757,8572260
26835,8572260
26847,8572260
26849,8572260
26835,8572260
26835,8572260
26835,8572260
26844,8572260
26789,8572260
26802,8572260
26835,8572260
26845,8572260
26842,8572260
26817,8572260
26835,8572260
26670,8572260
26826,8572260
26810,8572260
26831,8572260
0,8572260
49832,8580740
49844,8580740
49832,8580740
49770,8580740
48488,8580740
49832,8580740
49744,8580740
49838,8580740
49838,8580740
49740,8580740
49770,8580740
49774,8580740
49838,8580740
49838,8580740
49808,8580740
48480,8580740
49716,8580740
49832,8580740
48499,8580740
48480,8580740
48480,8580740
49832,8580740
