kreisid;kreisname
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II
62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I
63;Frankfurt (Oder) – Oder-Spree
64;Cottbus – Spree-Neiße
65;Elbe-Elster – Oberspreewald-Lausitz II
66;Altmark
67;Börde – Jerichower Land
68;Harz
69;Magdeburg
70;Dessau – Wittenberg
71;Anhalt
72;Halle
73;Burgenland – Saalekreis
74;Mansfeld
75;Berlin-Mitte
76;Berlin-Pankow
77;Berlin-Reinickendorf
78;Berlin-Spandau – Charlottenburg Nord
79;Berlin-Steglitz-Zehlendorf
80;Berlin-Charlottenburg-Wilmersdorf
81;Berlin-Tempelhof-Schöneberg
82;Berlin-Neukölln
83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost
84;Berlin-Treptow-Köpenick
85;Berlin-Marzahn-Hellersdorf
86;Berlin-Lichtenberg
87;Aachen I
88;Aachen II
89;Heinsberg
90;Düren
91;Rhein-Erft-Kreis I
92;Euskirchen – Rhein-Erft-Kreis II
93;Köln I
94;Köln II
95;Köln III
96;Bonn
97;Rhein-Sieg-Kreis I
98;Rhein-Sieg-Kreis II
99;Oberbergischer Kreis
100;Rheinisch-Bergischer Kreis
101;Leverkusen – Köln IV
102;Wuppertal I
103;Solingen – Remscheid – Wuppertal II
104;Mettmann I
105;Mettmann II
106;Düsseldorf I
107;Düsseldorf II
108;Neuss I
109;Mönchengladbach
110;Krefeld I – Neuss II
111;Viersen
112;Kleve
113;Wesel I
114;Krefeld II – Wesel II
115;Duisburg I
116;Duisburg II
117;Oberhausen – Wesel III
118;Mülheim – Essen I
119;Essen II
120;Essen III
121;Recklinghausen I
122;Recklinghausen II
123;Gelsenkirchen
124;Steinfurt I – Borken I
125;Bottrop – Recklinghausen III
126;Borken II
127;Coesfeld – Steinfurt II
128;Steinfurt III
129;Münster
130;Warendorf
131;Gütersloh I
132;Bielefeld – Gütersloh II
133;Herford – Minden-Lübbecke II
134;Minden-Lübbecke I
135;Lippe I
136;Höxter – Gütersloh III – Lippe II
137;Paderborn
138;Hagen – Ennepe-Ruhr-Kreis I
139;Ennepe-Ruhr-Kreis II
140;Bochum I
141;Herne – Bochum II
142;Dortmund I
143;Dortmund II
144;Unna I
145;Hamm – Unna II
146;Soest
147;Hochsauerlandkreis
148;Siegen-Wittgenstein
149;Olpe – Märkischer Kreis I
150;Märkischer Kreis II
